icao;airport
LOWI;Innsbruck Airport (Kranebitten Airport)
LOWK;Klagenfurt Airport
LOWL;Linz Airport (Blue Danube Airport)
LOWS;Salzburg Airport
LOWW;Vienna International Airport
YABA;Albany Airport
YABI;Abingdon Airport
YAGD;Augustus Downs Airport
YALA;Marla Airport
YALX;Alexandria Homestead Airport
YAMC;Aramac Airport
YAMK;Andamooka Airport
YAMT;Amata Airport
YANG;West Angelas Airport
YAPH;Alpha Airport
YARA;Ararat Airport
YARG;Argyle Airport
YARM;Armidale Airport
YARY;Arrabury Airport
YAUR;Aurukun Airport
YAUV;Auvergne Airport
YAYE;Ayers Rock Airport
YAYR;Ayr Airport
YBAR;Barcaldine Airport
YBAS;Alice Springs Airport
YBAU;Badu Island Airport
YBAW;Barkly Downs Airport
YBBN;Brisbane Airport
YBCG;Gold Coast Airport (Coolangatta Airport)
YBCK;Blackall Airport
YBCS;Cairns Airport
YBCV;Charleville Airport
YBDF;Bedford Downs Airport
YBDG;Bendigo Airport
YBDV;Birdsville Airport
YBEB;Bellburn Airstrip
YBEO;Betoota Airport
YBGD;Boolgeeda Airport
YBGO;Balgo Hill Airport
YBHI;Broken Hill Airport
YBHM;Great Barrier Reef Airport
YBIE;Bedourie Airport
YBKE;Bourke Airport
YBKT;Burketown Airport
YBLA;Benalla Airport
YBLC;Balcanoona Airport
YBLL;Bollon Airport
YBLN;Busselton Regional Airport
YBMA;Mount Isa Airport
YBMK;Mackay Airport
YBNA;Ballina Byron Gateway Airport
YBNS;Bairnsdale Airport
YBOI;Boigu Island Airport
YBOK;Oakey Army Aviation Centre
YBOU;Boulia Airport
YBPI;Brampton Island Airport
YBPN;Whitsunday Coast Airport
YBRK;Rockhampton Airport
YBRL;Borroloola Airport
YBRM;Broome International Airport
YBRN;Balranald Airport
YBRW;Brewarrina Airport
YBRY;Barimunya Airport
YBSU;Sunshine Coast Airport
YBTH;Bathurst Airport
YBTI;Bathurst Island Airport
YBTL;Townsville Airport
YBTR;Blackwater Airport
YBUD;Bundaberg Airport
YBUN;Bunbury Airport
YBWN;Bowen Airport
YBWP;Weipa Airport
YBWW;Toowoomba Wellcamp Airport
YBWX;Barrow Island Airport
YBYS;Beverley Springs Airport
YCAG;Caiguna Airport
YCAH;Coolah Airport
YCAR;Carnarvon Airport
YCAS;Casino Airport
YCBA;Cobar Airport
YCBB;Coonabarabran Airport
YCBP;Coober Pedy Airport
YCBR;Collarenebri Airport
YCCA;Chinchilla Airport
YCCT;Coconut Island Airport
YCCY;Cloncurry Airport
YCDO;Condobolin Airport
YCDR;Caloundra Airport
YCDU;Ceduna Airport
YCEE;Cleve Airport
YCFD;Camfield Airport
YCFS;Coffs Harbour Airport
YCGO;Chillagoe Airport
YCHK;Christmas Creek Mine Airport
YCHT;Charters Towers Airport
YCIN;RAAF Base Curtin
YCKI;Croker Island Airport
YCKN;Cooktown Airport
YCMT;Clermont Airport
YCMU;Cunnamulla Airport
YCMW;Camooweal Airport
YCNF;Nifty Airport
YCNK;Cessnock Airport
YCNM;Coonamble Airport
YCOD;Cordillo Downs Airport
YCOE;Coen Airport
YCOI;Collie Airport
YCOM;Cooma-Snowy Mountains Airport
YCOO;Cooinda Airport
YCOR;Corowa Airport
YCRG;Corryong Airport
YCRY;Croydon Airport
YCSV;Collinsville Airport
YCTM;Cootamundra Airport
YCUA;Cudal Airport
YCUE;Cue Airport
YCWA;Coondewanna Airport
YCWI;Cowarie Airport
YCWL;Cowell Airport
YCWR;Cowra Airport
YCWY;Coolawanyah Station Airport
YDAY;Dalby Airport
YDBI;Dirranbandi Airport
YDBR;Dunbar Airport
YDBY;Derby Airport
YDGA;Dalgaranga Airport
YDIX;Dixie Airport
YDKI;Dunk Island Airport
YDLK;Dulkaninna Airport
YDLQ;Deniliquin Airport
YDLT;Delta Downs Airport
YDLV;Delissaville Airport
YDMG;Doomadgee Airport
YDNI;Darnley Island Airport
YDOR;Dorunda Airport
YDPD;Davenport Downs Airport
YDPO;Devonport Airport
YDRA;Dongara Airport
YDRD;Drysdale River Airport
YDRH;Durham Downs Airport
YDRI;Durrie Airport
YDVR;Docker River Airport
YDYS;Dysart Airport
YECH;Echuca Airport
YECL;Eucla Airport
YEDA;Etadunna Airport
YEEB;Eneabba Airport
YELD;Elcho Island Airport
YEML;Emerald Airport
YERN;Pukatja Airport (Ernabella Airport)
YESE;Elrose Airport
YESP;Esperance Airport
YEVD;Evans Head Memorial Aerodrome
YEXM;Exmouth Airport
YFBS;Forbes Airport
YFDF;Fortescue Dave Forrest Airport
YFIL;Finley Airport
YFLI;Flinders Island Airport
YFLO;Flora Valley Airport
YFNE;Finke Airport
YFRT;Forrest Airport
YFRV;Forrest River Airport
YFST;Forster (Wallis Island) Airport
YFTZ;Fitzroy Crossing Airport
YGAM;Gamboola Airport
YGAY;Gayndah Airport
YGBI;South Goulburn Island Airport
YGDH;Gunnedah Airport
YGDI;Goondiwindi Airport
YGDN;Gordon Downs Airport
YGDS;Gregory Downs Airport
YGEL;Geraldton Airport
YGFN;Clarence Valley Regional Airport
YGIA;Ginbata Airport
YGIB;Gibb River Airport
YGKL;Great Keppel Island Airport
YGLA;Gladstone Airport
YGLB;Goulburn Airport
YGLE;Glengyle Airport
YGLG;Geelong Airport
YGLI;Glen Innes Airport
YGLO;Glenormiston Airport
YGNV;Greenvale Airport
YGON;Mount Gordon Airport
YGPT;Garden Point Airport
YGSC;Gascoyne Junction Airport
YGTE;Groote Eylandt Airport
YGTH;Griffith Airport
YGTN;Georgetown Airport
YGTO;George Town Aerodrome
YGYM;Gympie Airport
YHAW;Wilpena Pound Airport
YHAY;Hay Airport
YHBA;Hervey Bay Airport
YHBR;Humbert River Airport
YHBY;Henbury Airport
YHDY;Headingly Airport
YHHY;Highbury Airport
YHID;Horn Island Airport
YHIL;Hillside Airport
YHLC;Halls Creek Airport
YHMB;Hermannsburg Airport
YHML;Hamilton Airport
YHOO;Hooker Creek Airport
YHOT;Mount Hotham Airport
YHPN;Hopetoun Airport
YHSM;Horsham Airport
YHTL;Heathlands Airport
YHUG;Hughenden Airport
YIDK;Indulkana Airport
YIFL;Innisfail Airport
YIFY;Iffley Airport
YIGM;Ingham Airport
YIKM;Inkerman Airport
YINJ;Injune Airport
YINN;Innamincka Airport
YINW;Inverway Airport
YISF;Isisford Airport
YIVL;Inverell Airport
YJAB;Jabiru Airport
YJDA;Jundah Airport
YJLC;Julia Creek Airport
YJNB;Jurien Bay Airport
YKAL;Kalumburu Airport
YKAR;Karara Airport
YKBL;Kambalda Airport
YKBR;Kalbarri Airport
YKBY;Streaky Bay Airport
YKCA;Kings Canyon Airport
YKCS;Kings Creek Station Airport
YKER;Kerang Airport
YKII;King Island Airport
YKKG;Kalkgurung Airport
YKLA;Koolatah Airport
YKLB;Koolburra Airport
YKMB;Karumba Airport
YKML;Kamileroi Airport
YKMP;Kempsey Airport
YKNG;Katanning Airport
YKOW;Kowanyama Airport
YKPR;Kalpowar Airport
YKPT;Port Keats Airfield
YKRY;Kingaroy Airport
YKSC;Kingscote Airport
YKUB;Kubin Airport
YLAH;Lawn Hill Airport
YLEC;Leigh Creek Airport
YLEO;Leonora Airport
YLEV;Lake Evella Airport
YLFD;Lakefield Airport
YLHI;Lord Howe Island Airport
YLHR;Lockhart River Airport
YLHS;Lyndhurst Airport
YLIN;Lindeman Island Airport
YLIS;Lismore Airport
YLKN;Lake Nash Airport
YLLE;Ballera Airport
YLMQ;Lake Macquarie Airport (Belmont Airport)
YLND;Lakeland Downs Airport
YLOK;Lock Airport
YLOR;Lorraine Airport
YLOV;Lotus Vale Station Airport
YLRA;Laura Airport
YLRD;Lightning Ridge Airport
YLRE;Longreach Airport
YLRS;New Laura Airport
YLST;Leinster Airport
YLTN;Laverton Airport
YLTV;Latrobe Regional Airport
YLZI;Lizard Island Airport
YMAA;Mabuiag Island Airport
YMAE;Murray Island Airport
YMAV;Avalon Airport
YMAY;Albury Airport
YMBA;Mareeba Airfield
YMBL;Marble Bar Airport
YMCO;Mallacoota Airport
YMCR;Manners Creek Airport
YMCT;Millicent Airport
YMDG;Mudgee Airport
YMDI;Mandora Station Airport
YMDS;MacDonald Downs Airport
YMEK;Meekatharra Airport
YMEN;Essendon Airport
YMER;Merimbula Airport
YMEU;Merluna Airport
YMGB;Milingimbi Airport
YMGD;Maningrida Airport
YMGN;Mount Gunson Airport
YMGR;Margaret River Station Airport
YMGT;Margaret River Airport
YMGV;Musgrave Airport
YMHB;Hobart International Airport
YMHO;Mount House Airport
YMHU;McArthur River Mine Airport
YMIA;Mildura Airport
YMIN;Minlaton Airport
YMIP;Mitchell Plateau Airport
YMIR;Miranda Downs Airport
YMIT;Mitchell Airport
YMJM;Manjimup Airport
YMLS;Miles Airport
YMLT;Launceston Airport
YMMB;Moorabbin Airport
YMMI;Murrin Murrin Airport
YMML;Melbourne Airport
YMMU;Middlemount Airport
YMND;Maitland Airport
YMNE;Mount Keith Airport
YMNK;Monkira Airport
YMNS;Mount Swan Airport
YMNY;Morney Airport
YMOG;Mount Magnet Airport
YMOO;Mooraberree Airport
YMOR;Moree Airport
YMOT;Moreton Airport
YMPA;Minnipa Airport
YMQA;Marqua Airport
YMRB;Moranbah Airport
YMRE;Marree Airport
YMRW;Morawa Airport
YMRY;Moruya Airport
YMSF;Mount Sandford Station Airport
YMTB;Muttaburra Airport
YMTG;Mount Gambier Airport
YMTI;Mornington Island Airport
YMTO;Monto Airport
YMUC;Muccan Station Airport
YMUG;Mungeranie Airport
YMUK;Mulka Airport
YMUP;Mulga Park Airport
YMVG;Mount Cavenagh Airport
YMWA;Mullewa Airport
YMWT;Moolawatana Airport
YMWX;Marion Downs Airport
YMYB;Maryborough Airport
YMYR;Myroodah Airport
YMYT;Merty Merty Airport
YNAP;Nappa Merrie Airport
YNAR;Narrandera Airport
YNBR;Narrabri Airport
YNGU;Ngukurr Airport
YNHS;Nambucca Heads Airport
YNPE;Northern Peninsula Airport
YNRC;Naracoorte Airport
YNRG;Narrogin Airport
YNRV;Ravensthorpe Airport
YNSH;Noosa Airport
YNSM;Norseman Airport
YNTN;Normanton Airport
YNUB;Nullabor Motel Airport
YNUL;Nullagine Airport
YNUM;Numbulwar Airport
YNWN;Newman Airport
YNYN;Nyngan Airport
YOEN;Oenpelli Airport
YOLA;Colac Airport
YOLD;Olympic Dam Airport
YOLW;Onslow Airport
YOOD;Oodnadatta Airport
YOOM;Moomba Airport
YORB;Orbost Airport
YORC;Orchid Beach Airport
YORG;Orange Airport
YORV;Ord River Airport
YOSB;Osborne Mine Airport
YOUY;Ouyen Airport
YPAD;Adelaide Airport
YPAG;Port Augusta Airport
YPAM;Palm Island Airport
YPBO;Paraburdoo Airport
YPDI;Pandie Pandie Airport
YPDN;Darwin International Airport
YPDO;Pardoo Airport
YPGV;Gove Airport
YPIR;Port Pirie Airport
YPJT;Jandakot Airport
YPKA;Karratha Airport
YPKG;Kalgoorlie-Boulder Airport
YPKS;Parkes Airport
YPKU;East Kimberley Regional Airport
YPLC;Port Lincoln Airport
YPLM;RAAF Learmonth (Learmonth Airport)
YPMH;Prominent Hill Airport
YPMP;Edward River Airport
YPMQ;Port Macquarie Airport
YPOD;Portland Airport
YPOK;Porepunkah Airfield
YPPD;Port Hedland International Airport
YPPH;Perth Airport
YPSH;Penneshaw Airport
YPTN;RAAF Base Tindal
YPWR;RAAF Woomera Airfield
YQDI;Quirindi Airport
YQLP;Quilpie Airport
YQNS;Queenstown Airport
YREN;Renmark Airport
YRKD;Rockhampton Downs Airport
YRMD;Richmond Airport
YRNG;Ramingining Airport
YROB;Robinhood Airport
YROE;Roebourne Airport
YROI;Robinvale Airport
YROM;Roma Airport
YRRB;Roper Bar Airport
YRSB;Roseberth Airport
YRTI;Rottnest Island Airport
YRTP;Rutland Plains Airport
YRYH;Roy Hill Station Airport
YSAN;Sandstone Airport
YSBK;Bankstown Airport
YSCB;Canberra Airport
YSCN;Camden Airport
YSCO;Scone Airport
YSCR;Southern Cross Airport
YSDU;Dubbo City Regional Airport
YSEN;Serpentine Airfield
YSGE;St George Airport
YSGT;Singleton Airport
YSGW;South Galway Airport
YSHG;Shay Gap Airport
YSHK;Shark Bay Airport
YSHR;Whitsunday Airport
YSHT;Shepparton Airport
YSII;Saibai Island Airport
YSMB;Somersby Airfield
YSMI;Smithton Airport
YSMP;Smith Point Airport
YSMR;Strathmore Airport
YSNB;Snake Bay Airport
YSNW;NAS Nowra
YSOL;Solomon Airport
YSPE;Stanthorpe Airport
YSPK;Spring Creek Airport
YSPT;Southport Airport
YSPV;Springvale Airport
YSRI;RAAF Base Richmond
YSRN;Strahan Airport
YSSY;Sydney Airport (Kingsford Smith Airport)
YSTH;St Helens Airport
YSTI;Stephens Island Airport
YSTW;Tamworth Regional Airport
YSWG;Wagga Wagga Airport
YSWH;Swan Hill Airport
YSWL;Stawell Airport
YTAA;Tara Airport
YTAB;Tableland Homestead Airport
YTAM;Taroom Airport
YTBR;Timber Creek Airport
YTDR;Theodore Airport
YTEE;Trepell Airport
YTEF;Telfer Airport
YTEM;Temora Airport
YTGA;Tangalooma Airport
YTGM;Thargomindah Airport
YTGT;The Granites Airport
YTHD;Theda Station Airport
YTHY;Thylungra Airport
YTIB;Tibooburra Airport
YTKY;Turkey Creek Airport
YTMO;The Monument Airport
YTMP;Tom Price Airport
YTMU;Tumut Airport
YTMY;Tobermorey Airport
YTNG;Thangool Airport
YTNK;Tennant Creek Airport
YTOC;Tocumwal Airport
YTRE;Taree Airport
YTST;Truscott-Mungalalu Airport
YTWB;Toowoomba City Aerodrome
YUDA;Undara Airport
YUNY;Cluny Airport
YUSL;Useless Loop Airport
YVRD;Victoria River Downs Airport
YVRS;Vanrook Airport
YWAL;Wallal Airport
YWAV;Wave Hill Airport
YWBL;Warrnambool Airport
YWBS;Warraber Island Airport
YWCA;Wilcannia Airport
YWCH;Walcha Airport
YWCK;Warwick Airport
YWDG;Windarling Airport
YWDH;Windorah Airport
YWDL;Wondoola Airport
YWGT;Wangaratta Airport
YWHA;Whyalla Airport
YWIT;Wittenoom Airport
YWKB;Warracknabeal Airport
YWLG;Walgett Airport
YWLM;Newcastle Airport / RAAF Base Williamtown
YWLU;Wiluna Airport
YWMP;Wrotham Park Airport
YWND;Wondai Airport
YWOL;Illawarra Regional Airport
YWOR;Wollogorang Airport
YWSL;West Sale Airport
YWTL;Waterloo Airport
YWTN;Winton Airport
YWUD;Wudinna Airport
YWWA;Wee Waa Airport
YWWG;Warrawagine Airport
YWWI;Woodie Woodie Airport
YWWL;West Wyalong Airport
YWYM;Wyndham Airport
YWYY;Burnie Airport
YYAL;Yalgoo Airport
YYKI;Yorke Island Airport
YYLR;Yeelirrie Airport
YYMI;Yam Island Airport
YYND;Yuendumu Airport
YYNG;Young Airport
YYOR;Yorketown Airport
YYTA;Yalata Airport
TNCA;Queen Beatrix International Airport
UBBB;Heydar Aliyev International Airport
UBBF;Fuzuli Airport
UBBG;Ganja International Airport (formerly KVD)
UBBL;Lankaran International Airport
UBBN;Nakhchivan International Airport
UBBQ;Qabala International Airport
UBBY;Zaqatala International Airport
UBEE;Yevlakh Airport
LQBK;Banja Luka International Airport
LQMO;Mostar Airport
LQSA;Sarajevo International Airport
LQTZ;Tuzla International Airport
TBPB;Grantley Adams International Airport
VGBR;Barisal Airport
VGCB;Cox's Bazar Airport
VGCM;Comilla Airport
VGEG;Shah Amanat International Airport
VGHS;Hazrat Shahjalal International Airport
VGIS;Ishwardi Airport
VGJR;Jessore Airport
VGRJ;Shah Makhdum Airport
VGSD;Saidpur Airport
VGSG;Thakurgaon Airport
VGSH;Shamshernagar Airport
VGSY;Osmani International Airport
EBAW;Antwerp International Airport
EBBR;Brussels Airport (Zaventem Airport)
EBCI;Brussels South Charleroi Airport
EBKT;Kortrijk-Wevelgem International Airport
EBLG;Liege Airport
EBOS;Ostend-Bruges International Airport
EBZR;Oostmalle Airfield
DFCA;Kaya Airport
DFCC;Ouahigouya Airport
DFCJ;Djibo Airport
DFCL;Leo Airport
DFCP;Po Airport
DFEA;Boulsa Airport
DFEB;Bogande Airport
DFED;Diapaga Airport
DFEE;Dori Airport
DFEF;Fada N'gourma Airport
DFEG;Gorom Gorom Airport
DFEL;Kantchari Airport
DFEM;Tambao Airport
DFEP;Pama Airport
DFER;Arly Airport
DFES;Sebba Airport
DFET;Tenkodogo Airport
DFEZ;Zabre Airport
DFFD;Ouagadougou Airport
DFOB;Banfora Airport
DFOD;Dedougou Airport
DFOG;Gaoua Airport (Amilcar Cabral Airport)
DFON;Nouna Airport
DFOO;Bobo Dioulasso Airport
DFOT;Tougan Airport
DFOU;Diebougou Airport
DFOY;Aribinda Airport
LBBG;Burgas Airport
LBGO;Gorna Oryahovitsa Airport
LBHS;Haskovo Malevo Airport
LBPD;Plovdiv Airport
LBRS;Ruse Airport
LBSF;Sofia Airport
LBSS;Silistra Airfield
LBSZ;Stara Zagora Airport
LBTG;Targovishte Airport (Buhovtsi Airfield)
LBWN;Varna Airport
OBBI;Bahrain International Airport
HBBA;Bujumbura International Airport
HBBE;Gitega Airport
HBBO;Kirundo Airport
DBBB;Cadjehoun Airport
DBBD;Djougou Airport
DBBK;Kandi Airport
