icao;airport
ZUZY;Zunyi Xinzhou Airport
ZWAK;Aksu Airport
ZWAT;Altay Airport
ZWBL;Bole Alashankou Airport
ZWCM;Qiemo Airport
ZWFY;Fuyun Koktokay Airport
ZWHM;Hami Airport (Kumul Airport)
ZWHZ;Shihezi Huayuan Airport
ZWKC;Kuqa Qiuci Airport
ZWKL;Korla Airport
ZWKM;Karamay Airport
ZWKN;Kanas Airport
ZWNL;Xinyuan Nalati Airport
ZWRQ;Ruoqiang Loulan Airport
ZWSH;Kashgar Airport (Kashi Airport)
ZWSS;Shanshan Airport
ZWTC;Tacheng Airport
ZWTL;Turpan Jiaohe Airport
ZWTN;Hotan Airport
ZWWW;Urumqi Diwopu International Airport
ZWYN;Yining Airport
ZWYT;Yutian Wanfang Airport
ZYAS;Anshan Teng'ao Airport
ZYBA;Baicheng Chang'an Airport
ZYBS;Changbaishan Airport
ZYCC;Changchun Longjia International Airport
ZYCH;Changhai Airport
ZYCY;Chaoyang Airport
ZYDD;Dandong Langtou Airport
ZYDQ;Daqing Sartu Airport
ZYFY;Fuyuan Dongji Airport
ZYHB;Harbin Taiping International Airport
ZYHE;Heihe Airport
ZYJD;Jiagedaqi Airport
ZYJL;Jilin Ertaizi Airport
ZYJM;Jiamusi Dongjiao Airport
ZYJS;Jiansanjiang Airport
ZYJX;Jixi Xingkaihu Airport
ZYJZ;Jinzhou Bay Airport
ZYLD;Yichun Lindu Airport
ZYMD;Mudanjiang Hailang Airport
ZYMH;Mohe Gulian Airport
ZYQQ;Qiqihar Sanjiazi Airport
ZYSQ;Songyuan Chaganhu Airport
ZYTL;Dalian Zhoushuizi International Airport
ZYTN;Tonghua Sanyuanpu Airport
ZYTX;Shenyang Taoxian International Airport
ZYXC;Xingcheng Airport
ZYYJ;Yanji Chaoyangchuan Airport
ZYYK;Yingkou Lanqi Airport
ZYYL;Yilan Airport
SCSF;San Felipe Airport
SKAC;Araracuara Airport
SKAD;Alcides Fernandez Airport
SKAG;Hacaritama Airport
SKAM;Amalfi Airport (Colombia)
SKAN;Andes Airport
SKAP;Captain Luis F. Gomez Nino Air Base
SKAR;El Eden International Airport
SKAS;Tres de Mayo Airport
SKAT;El Troncal Airport
SKBC;Las Flores Airport
SKBG;Palonegro International Airport
SKBM;Barranco Minas Airport
SKBO;El Dorado International Airport
SKBQ;Ernesto Cortissoz International Airport
SKBS;Jose Celestino Mutis Airport
SKBU;Gerardo Tobar Lopez Airport
SKCA;Capurgana Airport
SKCC;Camilo Daza International Airport
SKCD;Mandinga Airport
SKCG;Rafael Nunez International Airport
SKCI;Carimagua Airport
SKCL;Alfonso Bonilla Aragon International Airport
SKCM;Cimitarra Airport
SKCN;Cravo Norte Airport
SKCO;La Florida Airport
SKCP;Bahia Cupica Airport
SKCR;Caruru Airport
SKCU;Juan H. White Airport
SKCV;Covenas Airport
SKCZ;Las Brujas Airport
SKEB;El Bagre Airport (El Tomin Airport)
SKEH;El Charco Airport
SKEJ;Yariguies Airport
SKFL;Gustavo Artunduaga Paredes Airport
SKGA;Las Gaviotas Airport
SKGI;Santiago Vila Airport
SKGO;Santa Ana Airport
SKGP;Guapi Airport (Juan Casiano Airport)
SKHA;General Navas Pardo Airport
SKHC;Hato Corozal Airport
SKIB;Perales Airport
SKIG;Jaime Ortiz Betancur Airport
SKIM;La Primavera Airport
SKIP;San Luis Airport
SKJU;Jurado Airport
SKLC;Antonio Roldan  Betancourt Airport
SKLG;Caucaya Airport
SKLM;Jorge Isaacs Airport (La Mina Airport)
SKLP;La Pedrera Airport
SKLT;Alfredo Vasquez Cobo International Airport
SKMB;Timbiqui Airport
SKMD;Olaya Herrera Airport
SKMF;Miraflores Airport
SKMG;Baracoa Regional Airport
SKML;Montelibano Airport
SKMP;San Bernardo Airport
SKMR;Los Garzones Airport
SKMU;Fabio Alberto Leon Bentley Airport
SKMZ;La Nubia Airport (Santaguida Airport)
SKNA;La Macarena Airport
SKNC;Antioquia Airport
SKNQ;Reyes Murillo Airport
SKNV;Benito Salas Airport
SKOC;Aguas Claras Airport
SKOE;Orocue Airport
SKOT;Otu Airport
SKPA;Juan Jose Rondon
SKPC;German Olano Airport
SKPD;Obando Airport
SKPE;Matecana International Airport
SKPI;Contador Airport
SKPL;Plato Airport
SKPN;Puerto Nare Airport
SKPP;Guillermo Leon Valencia Airport
SKPQ;Captain German Olano Moreno Air Base
SKPR;Morela Airport (Puerto Berrio Airport
SKPS;Antonio Narino Airport
SKPV;El Embrujo Airport
SKPZ;Paz de Ariporo Airport
SKQU;Mariquita Airport
SKRA;Tarapaca Airport
SKRG;Jose Maria Cordova International Airport
SKRH;Almirante Padilla Airport
SKRU;Las Cruces Airport
SKSA;Los Colonizadores Airport
SKSJ;Jorge Enrique Gonzalez Torres Airport
SKSL;Santa Rosalia Airport
SKSM;Simon Bolivar International Airport
SKSO;Alberto Lleras Camargo Airport
SKSP;Gustavo Rojas Pinilla International Airport
SKSV;Eduardo Falla Solano Airport
SKTA;Tauramena Airport
SKTB;Tibu Airport
SKTD;Trinidad Airport
SKTL;Golfo de Morrosquillo Airport
SKTM;Gabriel Vargas Santos Airport
SKTQ;Captain Ernesto Esguerra Cubides Air Base
SKTU;Gonzalo Mejia Airport
SKUB;Uribe Airport
SKUC;Santiago Perez  Quiroz Airport
SKUI;El Carano Airport
SKUL;Heriberto Gil Martinez
SKUR;Urrao Airport
SKVG;Villa Garzon Airport
SKVL;Velasquez Airport
SKVP;Alfonso Lopez Pumarejo Airport
SKVV;La Vanguardia Airport
SKYA;Yaguara Airport
SKYP;El Alcaravan Airport
SVWX;El Recreo Airport
MRAN;La Fortuna Airport
MRBA;Buenos Aires Airport
MRBC;Barra del Colorado Airport
MRBT;Tortuguero Airport (Barra de Tortuguero Airport)
MRCC;Coto 47 Airport
MRCH;Chacarita Airport
MRCR;Carrillo Airport (Playa Samara/Carrillo Airport)
MRDK;Drake Bay Airport
MRGF;Golfito Airport
MRGP;Guapiles Airport
MRIA;Punta Islita Airport
MRLB;Daniel Oduber Quiros International Airport
MRLC;Los Chiles Airport
MRLM;Limon International Airport
MRMJ;Canas Mojica Airport
MRNC;Nicoya Guanacaste Airport
MRNS;Nosara Airport
MROC;Juan Santamaria International Airport
MRPJ;Puerto Jimenez Airport
MRPM;Palmar Sur Airport
MRPV;Tobias Bolanos International Airport
MRQP;Quepos La Managua Airport
MRRF;Rio Frio Airport
MRSI;San Isidro de El General Airport
MRSV;San Vito de Java Airport
MRTM;Tamarindo Airport
MRTR;Tambor Airport
MRUP;Upala Airport
MUBA;Gustavo Rizo Airport
MUBR;Las Brujas Airport
MUBY;Carlos Manuel de Cespedes Airport
MUCA;Maximo Gomez  Airport
MUCC;Jardines del Rey Airport
MUCF;Jaime Gonzalez Airport
MUCL;Vilo Acuna Airport
MUCM;Ignacio Agramonte International Airport
MUCU;Antonio Maceo International Airport
MUGM;Guantanamo Bay Naval Base
MUGT;Mariana Grajales Airport
MUHA;Jose Marti International Airport
MUHG;Frank Pais Airport
MUKW;Kawama Airport
MULM;La Coloma Airport
MUMO;Orestes Acosta Airport
MUMZ;Sierra Maestra Airport
MUNG;Rafael Cabrera Mustelier Airport
MUPB;Playa Baracoa Airport
MUSC;Abel Santamaria Airport
MUSJ;San Julian Air Base
MUSN;Siguanea Airport
MUSS;Sancti Spiritus Airport
MUTD;Alberto Delgado Airport
MUVR;Juan Gualberto Gomez Airport
MUVT;Hermanos Ameijeiras Airport
GVAC;Amilcar Cabral International Airport
GVAN;Agostinho Neto Airport
GVBA;Aristides Pereira International Airport (Rabil Airport)
GVBR;Esperadinha Airport
GVMA;Maio Airport
GVMT;Mosteiros Airport
GVNP;Nelson Mandela International Airport
GVSF;Sao Filipe Airport
GVSN;Preguica Airport
GVSV;Cesaria Evora Airport
TNCC;Curacao International Airport (Hato Int'l Airport)
YPXM;Christmas Island Airport
LCEN;Ercan International Airport
LCGK;Gecitkale Air Base
LCLK;Larnaca International Airport
LCPH;Paphos International Airport
LCRA;RAF Akrotiri
LKCS;Ceske Budejovice Airport (Plana Airport)
LKHO;Holesov Airport
LKKU;Kunovice Airport
LKKV;Karlovy Vary Airport
LKMR;Marianske Lazne Airport
LKMT;Leos Janacek Airport
LKOL;Olomouc Airport (Neredin Airport)
LKPD;Pardubice Airport
LKPO;Prerov Airport
LKPR;Vaclav Havel Airport Prague
LKTB;Brno-Turany Airport
LKVO;Vodochody Airport
LKZA;Zabreh Airport
EDAC;Leipzig-Altenburg Airport
EDAH;Heringsdorf Airport
EDAQ;Halle-Oppin Airport
EDAU;Riesa-Gohlis Airfield
EDAX;Rechlin-Larz Airfield
EDAY;Strausberg
EDBC;Magdeburg-Cochstedt Airport
EDBH;Stralsund-Barth Airport
EDBN;Neubrandenburg Airport
EDCD;Cottbus-Drewitz Airport
EDCG;Rugen Airport (Guttin Airfield)
EDCK;Kothen Airport
EDCP;Peenemunde Airfield
EDDB;Berlin Brandenburg Airport
EDDC;Dresden Airport
EDDE;Erfurt-Weimar Airport
EDDF;Frankfurt Airport
EDDG;Munster Osnabruck International Airport
EDDH;Hamburg Airport
EDDK;Cologne Bonn Airport
EDDL;Dusseldorf Airport
EDDM;Munich Airport
EDDN;Nuremberg Airport
EDDP;Leipzig/Halle Airport
EDDR;Saarbrucken Airport
EDDS;Stuttgart Airport
EDDT;Berlin Tegel Airport
EDDV;Hannover Airport
EDDW;Bremen Airport
EDFH;Frankfurt-Hahn Airport
EDFM;Mannheim City Airport
EDGE;Eisenach-Kindel Airport
EDGS;Siegerland Airport
EDHB;Grube Airport
EDHE;Uetersen Airfield
EDHI;Hamburg Finkenwerder Airport
EDHK;Kiel Airport
EDHL;Lubeck Airport
EDHN;Neumunster Airport
EDJA;Memmingen Airport
EDKA;Merzbruck Airport
EDLD;Dinslaken/Schwarze Heide
EDLE;Essen/Mulheim Airport
EDLI;Bielefeld Airport
EDLN;Dusseldorf Monchengladbach Airport
EDLP;Paderborn Lippstadt Airport
EDLV;Weeze Airport (Niederrhein Airport)
EDLW;Dortmund Airport
EDMA;Augsburg Airport
EDMO;Oberpfaffenhofen Airport
EDMS;Straubing Wallmuhle Airport
EDNY;Friedrichshafen Airport (Bodensee Airport)
EDOP;Schwerin-Parchim International Airport
EDQD;Bindlacher Berg Airport
EDQE;Burg Feuerstein Airport
EDQG;Giebelstadt Airport
EDQM;Hof-Plauen Airport
EDRB;Bitburg Airport 
EDRZ;Zweibrucken Airport
EDSB;Karlsruhe/Baden-Baden Airport
EDTL;Flughafen Lahr (Lahr Airport)
EDVE;Braunschweig-Wolfsburg Airport
EDVK;Kassel Airport
EDWB;Bremerhaven Airport
EDWD;Lemwerder Airport
EDWE;Emden Airport
EDWG;Wangerooge Airport
EDWI;JadeWeserAirport
EDWJ;Juist Airport
EDWL;Langeoog Airport
EDWR;Borkum Airfield
EDWS;Norddeich Airport
EDWU;Varrelbusch Airport
EDWY;Norderney Airport
EDWZ;Baltrum Airport
EDXB;Heide-Busum Airport
EDXF;Flensburg-Schaferhaus Airport
EDXH;Helgoland Airport (Dune Airport)
EDXJ;Husum Schwesing Airport
EDXO;Sankt Peter-Ording Airport
EDXW;Sylt Airport (Westerland Airport)
EDXY;Wyk auf Fohr Airport
ETAD;Spangdahlem Air Base
ETAR;Ramstein Air Base
ETHF;Fritzlar Air Base
ETIE;Heidelberg Airport
ETIK;Illesheim Army Airfield
ETIN;Kitzingen Airport
ETMN;Nordholz Naval Airbase
ETNG;NATO Air Base Geilenkirchen
ETNL;Rostock-Laage Airport
ETNS;Schleswig Air Base
ETOU;Wiesbaden Army Airfield
ETSF;Furstenfeldbruck Air Base
ETSI;Ingolstadt Manching Airport
ETUO;RAF Gutersloh
HDAM;Djibouti-Ambouli International Airport
HDAS;Ali-Sabieh Airport
HDMO;Moucha Airport
HDOB;Obock Airport
HDTJ;Tadjoura Airport
EKAH;Aarhus Airport
EKBI;Billund Airport
EKCH;Copenhagen Airport
EKEB;Esbjerg Airport
EKKA;Karup Airport
EKLS;Laesoe Airport
EKMB;Lolland Falster Airport
EKOD;Hans Christian Andersen Airport
EKRK;Roskilde Airport
EKRN;Bornholm Airport
EKSB;Sonderborg Airport
EKSN;Sindal Airport
EKSP;Vojens Airport (Skrydstrup Airport)
EKSV;Skive Airport
EKTS;Thisted Airport
EKVJ;Stauning Vestjylland Airport
EKYT;Aalborg Airport
TDCF;Canefield Airport
TDPD;Douglas-Charles Airport
MDAB;Arroyo Barril Airport
MDBH;Maria Montez International Airport
MDCR;Cabo Rojo Airport
MDCY;Samana El Catey International Airport
MDCZ;Constanza Airport
MDJB;La Isabela International Airport (Dr. Joaquin Balaguer Int'l)
MDPC;Punta Cana International Airport
MDPP;Gregorio Luperon International Airport
MDSD;Las Americas International Airport
MDST;Cibao International Airport
DAAD;Bou Saada Airport
DAAE;Soummam - Abane Ramdane Airport
DAAG;Houari Boumediene Airport
DAAJ;Tiska Djanet Airport
DAAP;Takhamalt Airport
DAAS;Ain Arnat Airport
DAAT;Aguenar -Hadj Bey Akhamok Airport
DAAV;Jijel Ferhat Abbas Airport
DAAY;Mecheria Airport
DABB;Rabah Bitat Airport (Les Salines Airport)
DABC;Mohamed Boudiaf International Airport
DABP;Skikda Airport
DABS;Cheikh Larbi Tebessi Airport
DABT;Mostepha Ben Boulaid Airport
DAFH;Hassi R'Mel Airport (Tilrempt Airport)
DAOB;Abdelhafid Boussouf Bou Chekif Airport
DAOF;Tindouf Airport
DAOI;Chlef International Airport
DAOL;Oran Tafaraoui Airport
DAON;Zenata - Messali El Hadj Airport
DAOO;Oran Es Senia Airport
DAOR;Boudghene Ben Ali Lotfi Airport
DAOS;Sidi Bel Abbes Airport
DAOV;Ghriss Airport
DAOY;El Bayadh Airport
DATG;In Guezzam Airport
DATM;Bordj Mokhtar Airport
DAUA;Touat-Cheikh Sidi Mohamed Belkebir Airport
DAUB;Biskra Airport
DAUE;El Golea Airport
DAUG;Noumerat - Moufdi Zakaria Airport
DAUH;Oued Irara-Krim Belkacem Airport
DAUI;In Salah Airport
DAUK;Sidi Mahdi Airport
DAUL;L'Mekrareg Airport (Laghouat Airport)
DAUO;Guemar Airport
DAUT;Timimoun Airport
DAUU;Ain Beida Airport
DAUZ;In Amenas Airport (Zarzaitine Airport)
SEAM;Chachoan Airport
SECO;Francisco de Orellana Airport
SECU;Mariscal Lamar International Airport
SEGS;Seymour Airport
SEGU;Jose Joaquin de Olmedo International Airport
SEII;General Villamil Airport
SEJD;Jumandy Airport
SEJI;Jipijapa Airport
SEMA;Jose Maria Velasco Ibarra Airport
SEMC;Edmundo Carvajal Airport
SEMH;General Manuel Serrano Airport
SEMT;Eloy Alfaro International Airport
SENL;Lago Agrio Airport
SEPT;Putumayo Airport
SEPV;Reales Tamarindos Airport
SEQM;Mariscal Sucre International Airport
SERO;Santa Rosa International Airport
SESA;General Ulpiano Paez Airport
SESC;Sucua Airport
SESM;Rio Amazonas Airport
SEST;San Cristobal Airport
SESV;Los Perales Airport
SETH;Taisha Airport
SETI;Tiputini Airport
SETM;Ciudad de Catamayo Airport
SETN;Carlos Concha Torres International Airport
SETR;Tarapoa Airport
SETU;Teniente Coronel Luis a Mantilla International Airport
EEKA;Kardla Airport
EEKE;Kuressaare Airport
EEPU;Parnu Airport
EETN;Tallinn Airport (Lennart Meri Tallinn Airport)
EETU;Tartu Airport
HE25;El Minya Airport
HEAL;Al Alamain International Airport
HEAR;El Arish International Airport
HEAT;Assiut Airport
HEAX;El Nouzha Airport
HEBA;Borg El Arab Airport
HEBL;Abu Simbel Airport
HECA;Cairo International Airport
HEDK;Dakhla Oasis Airport
HEGN;Hurghada International Airport
HEKG;El Kharga Airport
HELX;Luxor International Airport
HEMA;Marsa Alam International Airport
HEMK;Sohag International Airport
HEMM;Marsa Matruh International Airport
HEOW;Sharq Al-Owainat Airport
HEPS;Port Said Airport
HESC;St. Catherine International Airport
HESH;Sharm el-Sheikh International Airport
HESN;Aswan International Airport
HETB;Taba International Airport
HETR;El Tor Airport
HHAS;Asmara International Airport
HHMS;Massawa International Airport
HHSB;Assab International Airport
HHTS;Teseney Airport
GCFV;Fuerteventura Airport
GCGM;La Gomera Airport
GCHI;El Hierro Airport
GCLA;La Palma Airport
GCLP;Gran Canaria Airport
GCRR;Lanzarote Airport
GCTS;Tenerife South Airport
GCXO;Tenerife North Airport
GEML;Melilla Airport
LEAB;Albacete Airport
LEAL;Alicante-Elche Airport
LEAM;Almeria Airport
LEAS;Asturias Airport (Oviedo Airport)
LEBA;Cordoba Airport
LEBB;Bilbao Airport
LEBG;Burgos Airport
LEBL;Barcelona El Prat Airport
LEBZ;Badajoz Airport (Talavera la Real Air Base)
LECH;Castellon-Costa Azahar Airport
LECO;A Coruna Airport
LEDA;Lleida-Alguaire Airport
LEGE;Girona-Costa Brava Airport
LEGR;Federico Garcia Lorca Airport (Granada Jaen Airport)
LEHC;Huesca-Pirineos Airport
LEIB;Ibiza Airport
LEJR;Jerez Airport (La Parra Airport)
LELC;Murcia-San Javier Airport
LELN;Leon Airport
LELO;Logrono-Agoncilo
LEMD;Adolfo Suarez Madrid-Barajas Airport
LEMG;Malaga Airport
LEMH;Menorca Airport (Mahon Airport)
LEMI;Region de Murcia International Airport
LEMO;Moron Air Base
LEPA;Palma de Mallorca Airport
LEPP;Pamplona Airport
LERL;Ciudad Real Central Airport
LERS;Reus Airport
LERT;Naval Station Rota
LESA;Salamanca Airport
LESB;Son Bonet Aerodrome
LESL;San Luis Aerodrome
LESO;San Sebastian Airport
LEST;Santiago de Compostela Airport
LESU;Andorra–La Seu d'Urgell Airport
LETL;Teruel Airport
LETO;Madrid-Torrejon Airport
LEVC;Valencia Airport
LEVD;Valladolid Airport
LEVT;Vitoria Airport
LEVX;Vigo-Peinador Airport
LEXJ;Santander Airport
LEZG;Zaragoza Airport
LEZL;Seville Airport
HAAB;Addis Ababa Bole International Airport
HAAM;Arba Minch Airport
HAAX;Axum Airport
HABB;Bedele Airport (Buno Bedele Airport)
HABC;Baco Airport (Jinka Airport)
HABD;Bahir Dar Airport
HABE;Beica Airport
HABU;Bulchi Airport
HADC;Combolcha Airport
HADD;Dembidolo Airport
HADM;Debre Marqos Airport
HADR;Aba Tenna Dejazmach Yilma International Airport
HADT;Debre Tabor Airport
HAFN;Fincha Airport
HAGB;Robe Airport
HAGH;Ginir Airport
HAGM;Gambela Airport
HAGN;Gondar Airport (Atse Tewodros Airport)
HAGO;Gode Airport
HAGR;Gore Airport
HAHU;Humera Airport
HAJJ;Wilwal International Airport
HAJM;Aba Segud Airport
HAKD;Kabri Dar Airport
HAKL;Kelafo Airport
HALA;Awasa Airport
HALL;Lalibela Airport
HAMA;Mekane Selam Airport
HAMJ;Tum Airport
HAMK;Alula Aba Nega Airport
HAML;Mena Airport
HAMM;Genda Wuha Airport
HAMN;Mendi Airport
HAMR;Mui Airport
HAMT;Mizan Teferi Airport
HANG;Neghelle Airport
HANJ;Nejjo Airport
HANK;Nekemte Airport
HAPW;Beles Airport
HASD;Soddu Airport
HASK;Shakiso Airport
HASL;Shilavo Airport
HASM;Semera Airport
HASO;Asosa Airport
HATP;Tippi Airport
HAWC;Wacca Airport
HAWR;Warder Airport
EFET;Enontekio Airport
EFHA;Halli Airport
EFHF;Helsinki-Malmi Airport
EFHK;Helsinki Airport (Helsinki-Vantaa Airport)
EFHV;Hyvink- Airfield
EFIT;Kitee Airfield
EFIV;Ivalo Airport
EFJO;Joensuu Airport
EFJY;Jyvaskyla Airport
EFKA;Kauhava Airfield
EFKE;Kemi-Tornio Airport
EFKI;Kajaani Airport
EFKJ;Kauhajoki Airfield
EFKK;Kokkola-Pietarsaari Airport
EFKS;Kuusamo Airport
EFKT;Kittila Airport
EFKU;Kuopio Airport
EFLP;Lappeenranta Airport
EFMA;Mariehamn Airport
EFMI;Mikkeli Airport
EFOU;Oulu Airport
EFPO;Pori Airport
EFRO;Rovaniemi Airport
EFSA;Savonlinna Airport
EFSI;Seinajoki Airport
EFSO;Sodankyla Airfield
EFTP;Tampere-Pirkkala Airport
EFTU;Turku Airport
EFUT;Utti Airport
EFVA;Vaasa Airport
EFVR;Varkaus Airport
EFYL;Ylivieska Airfield
NFCI;Cicia Airport
NFCS;Castaway Island Seaplane Base
NFFN;Nadi International Airport
NFFO;Malolo Lailai Airport
NFFR;Rabi Airport
NFKD;Vunisea Airport
NFMA;Mana Island Airport
NFMO;Moala Airport
NFNA;Nausori International Airport
NFNB;Levuka Airfield (Bureta Airport)
NFND;Pacific Harbour Airport
NFNG;Gau Airport
NFNH;Laucala Airport
NFNK;Lakeba Airport
NFNL;Labasa Airport
NFNM;Matei Airport
NFNO;Koro Airport
NFNR;Rotuma Airport
NFNS;Savusavu Airport
NFNU;Dama Airport
NFNV;Vatukoula Airport
NFNW;Wakaya Airport
NFOL;Ono-i-Lau Airport
NFSW;Yasawa Island Airport
NFVB;Vanuabalavu Airport
NFVL;Vatulele Airport
EGYP;RAF Mount Pleasant
EKVG;Vagar Airport
SFAL;Port Stanley Airport
PTKK;Chuuk International Airport
PTPN;Pohnpei International Airport
PTSA;Kosrae International Airport
PTYA;Yap International Airport
LFAB;Dieppe - Saint-Aubin Airport
LFAC;Calais-Dunkerque Airport
LFAQ;Albert - Picardie Airport
LFAT;Le Touquet - Cote d'Opale Airport
LFBA;Agen La Garenne Airport
LFBD;Bordeaux-Merignac Airport
LFBE;Bergerac Dordogne Perigord Airport
LFBG;Cognac - Chateaubernard Air Base
LFBH;La Rochelle - Ile de Re Airport
LFBI;Poitiers-Biard Airport
LFBK;Montlucon - Gueret Airport
LFBL;Limoges - Bellegarde Airport
LFBN;Niort - Souche Airport
LFBO;Toulouse-Blagnac Airport
LFBP;Pau Pyrenees Airport
LFBT;Tarbes-Lourdes-Pyrenees Airport
LFBU;Angouleme - Cognac International Airport
LFBX;Perigueux Bassillac Airport
LFBZ;Biarritz Pays Basque Airport
LFCC;Cahors - Lalbenque Airport
LFCI;Le Sequestre Airport
LFCK;Castres-Mazamet Airport
LFCQ;Aérodrome de Graulhet-Montdragon
LFCR;Rodez-Marcillac Airport
LFCY;Royan - Medis Aerodrome
LFDG;Gaillac Lisle Sur Tarn Airport
LFDN;Rochefort - Saint-Agnant Airport
LFEY;Ile d'Yeu Aerodrome
LFGA;Colmar - Houssen Airport
LFGJ;Dole-Jura Airport
LFHM;Megeve Altiport
LFHO;Aubenas Aerodrome (Arddecheche Meridionale Aerodrom)
LFHP;Le Puy - Loudes Airport
LFHS;Bourg – Ceyzériat Airport
LFHU;Alpe d'Huez Airport
LFHY;Moulins – Montbeugny Airport
LFJL;Metz-Nancy-Lorraine Airport
LFJR;Angers - Loire Airport
LFKB;Bastia - Poretta Airport
LFKC;Calvi - Sainte-Catherine Airport
LFKF;Figari-Sud Corse Airport
LFKJ;Ajaccio Napoleon Bonaparte Airport
LFKO;Propriano Airport
LFKS;Solenzara Air Base
LFKX;Meribel Altiport
LFLA;Auxerre - Branches Aerodrome
LFLB;Chambery-Savoie Airport
LFLC;Clermont-Ferrand Auvergne Airport
LFLD;Bourges Airport
LFLJ;Courchevel Altiport
LFLL;Lyon-Saint-Exupery Airport
LFLN;Saint-Yan Airport (Charolais Bourgogne Sud Airport)
LFLO;Roanne Renaison Airport
LFLP;Annecy - Haute-Savoie - Mont Blanc Airport
LFLS;Grenoble-Isere Airport
LFLU;Valence-Chabeuil Airport
LFLV;Vichy - Charmeil Airport
LFLW;Aurillac - Tronquieres Airport
LFLX;Chateauroux-Centre Marcel Dassault Airport
LFLY;Lyon-Bron Airport
LFMA;Aix-en-Provence Aerodrome
LFMD;Cannes - Mandelieu Airport
LFMH;Saint-Etienne-Boutheon Airport
LFMI;Istres-Le Tubé Air Base
LFMK;Carcassonne Airport
LFML;Marseille Provence Airport
LFMN;Nice Cote d'Azur Airport
LFMP;Perpignan-Rivesaltes Airport
LFMQ;Le Castellet Airport
LFMR;Barcelonnette - Saint-Pons Airport
LFMT;Montpellier-Mediterranee Airport (Frejorgues Airport)
LFMU;Beziers Cap d'Agde Airport
LFMV;Avignon - Provence Airport
LFNA;Gap-Tallard Airport
LFNB;Brenoux Airport
LFNC;Mont-Dauphin - Saint-Crepin Airport
LFOB;Beauvais–Tillé Airport
LFOE;Evreux-Fauville Air Base
LFOH;Le Havre - Octeville Airport
LFOK;Chalons Vatry Airport
LFOO;Les Sables-d'Olonne - Talmont Airport
LFOP;Rouen Airport
LFOT;Tours Val de Loire Airport
LFOU;Cholet Le Pontreau Airport
LFOV;Laval Entrammes Airport
LFOZ;Orleans - Saint-Denis-de-l'Hotel port
LFPC;Creil Air Base
LFPF;Beynes Thiverval Airport
LFPG;Paris Charles de Gaulle Airport
LFPK;Coulommiers – Voisins Aerodrome
LFPL;Aérodrome de Lognes - Émerainville
LFPN;Toussus-le-Noble Airport
LFPO;Aéroport de Paris-Orly
LFPX;Aérodrome de Chavenay - Villepreux
LFQG;Nevers - Fourchambault Airport
LFQQ;Lille Airport (Lille-Lesquin Airport)
LFQT;Merville-Calonne Airport
LFQV;Charleville-Mézières Aerodrome
LFRB;Brest Bretagne Airport
LFRC;Cherbourg - Maupertus Airport
LFRD;Dinard-Pleurtuit-Saint-Malo Airport
LFRE;La Baule-Escoublac Airport
LFRF;Granville-Mont-Saint-Michel Aerodrome (fr)
LFRG;Deauville - Saint-Gatien Airport
LFRH;Lorient South Brittany Airport (Lann-Bihoue Airport)
LFRI;La Roche-sur-Yon Aerodrome
LFRJ;Landivisiau Air Base
LFRK;Caen - Carpiquet Airport
LFRM;Le Mans Arnage Airport
LFRN;Rennes-Saint-Jacques Airport
LFRO;Lannion - Cote de Granit Airport
LFRQ;Quimper-Cornouaille Airport
LFRS;Nantes Atlantique Airport
LFRT;Saint-Brieuc - Armor Airport
LFRU;Morlaix - Ploujean Airport
LFRV;Meucon Airport
LFRZ;Saint-Nazaire Montoir Airport
LFSB;Europort Mulhouse (Basel) Airport
LFSD;Dijon Air Base
LFSF;Metz-Frescaty Air Base
LFSG;Epinal - Mirecourt Airport
LFSL;Brive-Souillac Airport
LFSN;Nancy-Essey Airport
LFSR;Reims - Champagne Airport
LFST;Strasbourg Airport
LFSZ;Vittel - Champ-de-Courses Airport
LFTH;Toulon-Hyeres Airport (Hyeres Le Palyvestre Airport)
LFTW;Nimes-Ales-Camargue-Cevennes Airport (Garons Airport)
LFTZ;La Mole - Saint-Tropez Airport
FOGA;Akieni Airport
FOGB;Booue Airport
FOGE;Ndende Airport
FOGF;Fougamou Airport
FOGG;Mbigou Airport
FOGI;Moabi Airport
FOGJ;Ndjole Ville Airport
FOGK;Koulamoutou Airport
FOGM;Mouila Airport
FOGO;Oyem Airport
FOGQ;Okondja Airport
FOGR;Lambarene Airport
FOGV;Minvoul Airport
FOGW;Alowe Airport
FOOB;Bitam Airport
FOOD;Moanda Airport
FOOE;Mekambo Airport
FOOG;Port-Gentil International Airport
FOOH;Omboue Hospital Airport
FOOI;Tchongorove Airport
FOOK;Makokou Airport
FOOL;Léon-Mba International Airport
FOOM;Mitzic Airport
FOON;M'Vengue El Hadj Omar Bongo Ondimba International Airport
FOOR;Lastourville Airport
FOOT;Tchibanga Airport
FOOY;Mayumba Airport
EG74;Bruntingthorpe Aerodrome (Leicester Harboro'/Harbour Airport)
EGAA;Belfast International Airport
EGAB;Enniskillen/St Angelo Airport
EGAC;George Best Belfast City Airport
EGAE;City of Derry Airport
EGBB;Birmingham Airport
EGBE;Coventry Airport
EGBJ;Gloucestershire Airport
EGBK;Sywell Aerodrome
EGBN;Nottingham Airport
EGBP;Cotswold Airport
EGCC;Manchester Airport
EGCN;Robin Hood Airport Doncaster Sheffield
EGDJ;RAF Upavon
EGDL;RAF Lyneham
